method,scene,iteration,split,num_images,psnr,ssim,lpips
baseline,scan24,10000,train,49,32.289862,0.941775,0.131309
baseline,scan105,10000,train,64,33.732391,0.916614,0.278894
ablation_stop5000,scan24,10000,train,49,32.664114,0.944202,0.127627
ablation_stop5000,scan105,10000,train,64,34.053622,0.919169,0.274352
improved_geo,scan24,10000,train,49,32.334978,0.941994,0.130860
improved_geo,scan105,10000,train,64,33.640359,0.916722,0.280186
