scene,baseline_psnr,improved_psnr,delta_psnr,baseline_ssim,improved_ssim,delta_ssim,baseline_lpips,improved_lpips,delta_lpips
scan105,33.732391,33.926934,0.194543,0.916614,0.918174,0.001560,0.278894,0.276408,-0.002486
scan24,32.289862,32.261173,-0.028689,0.941775,0.942483,0.000708,0.131309,0.128960,-0.002349
